
Live captions                                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LiveCaptions.exe                                 
Magnifier                                              {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe                                      
Windows Memory Diagnostic                              {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe                                      
System Configuration                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe                                     
System Information                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe                                     
Narrator                                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe                                     
ODBC Data Sources (64-bit)                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe                                     
On-Screen Keyboard                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe                                          
Steps Recorder                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe                                          
Recovery Drive                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe                                
Services                                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc                                     
Voice access                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe                                  
Windows Defender Firewall with Advanced Security       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc                                           
Windows PowerShell                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe            
Windows PowerShell ISE                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe        
XPS Viewer                                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\xpsrchvw.exe                                     
Audacity                                               {6D809377-6AF0-444B-8957-A3773F02200E}\Audacity\Audacity.exe                            
Daum Potplayer-64 Bits                                 {6D809377-6AF0-444B-8957-A3773F02200E}\DAUM\PotPlayer\PotPlayerMini64.exe               
Uninstall Potplayer-64 Bits                            {6D809377-6AF0-444B-8957-A3773F02200E}\DAUM\PotPlayer\uninstall.exe                     
Duet Display                                           {6D809377-6AF0-444B-8957-A3773F02200E}\Duet\Duet Display\duet.exe                       
Git GUI                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe                              
Git Release Notes                                      {6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html                            
WordPad                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe               
Console RAR manual                                     {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\Rar.txt                                   
What is new in the latest version                      {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WhatsNew.txt                              
WinRAR help                                            {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.chm                                
WinRAR                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.exe                                
Adobe ImageReady 7.0                                   {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Adobe\Photoshop 7.0\ImageReady.exe               
Adobe Photoshop 7.0                                    {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Adobe\Photoshop 7.0\Photoshop.exe                
Adobe Reader XI                                        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Adobe\Reader 11.0\Reader\AcroRd32.exe            
ODBC Data Sources (32-bit)                             {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe                                     
Windows PowerShell (x86)                               {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe            
Windows PowerShell ISE (x86)                           {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe        
Registry Editor                                        {F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe                                      
HP Enhanced Lighting                                   AD2F1837.HPEnhance_v10z8vjag6ke6!AD2F1837.HPEnhance                                     
Energy Star                                            AD2F1837.HPInc.EnergyStar_v10z8vjag6ke6!AD2F1837.HPInc.EnergyStar                       
Mixed Reality Portal                                   Microsoft.MixedReality.Portal_8wekyb3d8bbwe!App                                         
Windows Security                                       Microsoft.SecHealthUI_8wekyb3d8bbwe!SecHealthUI                                         
Settings                                               windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel     
Paint                                                  Microsoft.Paint_8wekyb3d8bbwe!App                                                       
B&O Audio Control                                      AD2F1837.BOAudioControl_v10z8vjag6ke6!App                                               
Get Started                                            MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WebExperienceHost                             
Feedback Hub                                           Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App                                          
HP QuickDrop                                           AD2F1837.HPQuickDrop_v10z8vjag6ke6!App                                                  
Cortana                                                Microsoft.549981C3F5F10_8wekyb3d8bbwe!App                                               
HP System Event Utility                                AD2F1837.HPSystemEventUtility_v10z8vjag6ke6!AD2F1837.HPSystemEventUtility               
Ubuntu                                                 CanonicalGroupLimited.Ubuntu_79rhkp1fndgsc!ubuntu                                       
HP Command Center                                      AD2F1837.HPThermalControl_v10z8vjag6ke6!App                                             
Quick Assist                                           MicrosoftCorporationII.QuickAssist_8wekyb3d8bbwe!App                                    
Dropbox promotion                                      C27EB4BA.DropboxOEM_xbfy0k16fey96!App                                                   
Mail                                                   microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail            
Calendar                                               microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.calendar        
Voice Recorder                                         Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App                                        
Maps                                                   Microsoft.WindowsMaps_8wekyb3d8bbwe!App                                                 
Solitaire                                              26720RandomSaladGamesLLC.3899848563C1F_kx24dqmazqk8j!App                                
HP PC Hardware Diagnostics Windows                     AD2F1837.HPPCHardwareDiagnosticsWindows_v10z8vjag6ke6!HPPCHardwareDiagnosticsWindows    
Tips                                                   Microsoft.Getstarted_8wekyb3d8bbwe!App                                                  
Terminal                                               Microsoft.WindowsTerminal_8wekyb3d8bbwe!App                                             
Sticky Notes                                           Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App                                        
HP Privacy Settings                                    AD2F1837.HPPrivacySettings_v10z8vjag6ke6!App                                            
Snipping Tool                                          Microsoft.ScreenSketch_8wekyb3d8bbwe!App                                                
Family                                                 MicrosoftCorporationII.MicrosoftFamily_8wekyb3d8bbwe!Family                             
Office                                                 Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub                 
Photos                                                 Microsoft.Windows.Photos_8wekyb3d8bbwe!App                                              
Video Editor                                           Microsoft.Windows.Photos_8wekyb3d8bbwe!SecondaryEntry                                   
Get Help                                               Microsoft.GetHelp_8wekyb3d8bbwe!App                                                     
HP Support Assistant                                   AD2F1837.HPSupportAssistant_v10z8vjag6ke6!AD2F1837.HPSupportAssistant                   
Media Player                                           Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic                                   
Calculator                                             Microsoft.WindowsCalculator_8wekyb3d8bbwe!App                                           
Movies & TV                                            Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo                                   
Notepad                                                Microsoft.WindowsNotepad_8wekyb3d8bbwe!App                                              
HP Smart                                               AD2F1837.HPPrinterControl_v10z8vjag6ke6!AD2F1837.HPPrinterControl                       
AMD Radeon Software                                    AdvancedMicroDevicesInc-2.AMDRadeonSoftware_0a9344xs7nr4m!AMDRadeonsoftwareUWP          
Microsoft Whiteboard                                   Microsoft.Whiteboard_8wekyb3d8bbwe!Whiteboard                                           
Camera                                                 Microsoft.WindowsCamera_8wekyb3d8bbwe!App                                               
Xbox Game Bar                                          Microsoft.XboxGamingOverlay_8wekyb3d8bbwe!App                                           
Microsoft Teams                                        MicrosoftTeams_8wekyb3d8bbwe!MicrosoftTeams                                             
Xbox                                                   Microsoft.GamingApp_8wekyb3d8bbwe!Microsoft.Xbox.App                                    
Weather                                                Microsoft.BingWeather_8wekyb3d8bbwe!App                                                 
Microsoft Store                                        Microsoft.WindowsStore_8wekyb3d8bbwe!App                                                
Clock                                                  Microsoft.WindowsAlarms_8wekyb3d8bbwe!App                                               
Alexa                                                  57540AMZNMobileLLC.AmazonAlexa_22t9g3sebte08!App                                        
Spotify                                                SpotifyAB.SpotifyMusic_zpdnekdrzrea0!Spotify                                            
Microsoft To Do                                        Microsoft.Todos_8wekyb3d8bbwe!App                                                       
myHP                                                   AD2F1837.myHP_v10z8vjag6ke6!App                                                         
Power Automate                                         Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console                                
Clipchamp ? Video Editor                               Clipchamp.Clipchamp_yxz26nhyzhsrt!App                                                   
Phone Link                                             Microsoft.YourPhone_8wekyb3d8bbwe!App                                                   
OMEN Gaming Hub                                        AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter                     
Solitaire & Casual Games                               Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe!App                                
News                                                   Microsoft.BingNews_8wekyb3d8bbwe!AppexNews                                              
WhatsApp                                               5319275A.WhatsAppDesktop_cv1g1gvanyjgm!App                                              


